,統一編號,公司名稱,公司地址,資本額總額,核准設立日期,最後核准變更日期,公司狀態,代表人/創辦人/員工,產業別,資本額(標準化),成立順序
71,42963956,綻場運動行銷有限公司,基隆市信義區東信里東信路236巷1之3號,1000000,2018-05-30,,解散 (核准解散日期: 2020-04-14),李瑞惠,布疋、衣著、鞋、帽、傘、服飾品批發業,-0.415,16
72,54986878,通晟科技有限公司,基隆市中正區正榮街77巷7號,100000,2019-04-12,,核准設立,鄭秉偉,布疋、衣著、鞋、帽、傘、服飾品批發業、家具、寢具、廚房器具、裝設品批發業,-1.128,17
73,83540263,品鈊有限公司,基隆市信義區東信里花源三街56號,200000,2020-01-17,,核准設立,陳世維,食品什貨批發業、布疋、衣著、鞋、帽、傘、服飾品批發業,-1.049,18
74,83559038,禾豊貿易有限公司,基隆市信義區東信里正信路227巷23弄22號5樓,1000000,2020-03-25,,核准設立,張正典,布疋、衣著、鞋、帽、傘、服飾品批發業、食品什貨批發業,-0.415,19
75,84395082,華邦工程顧問有限公司,基隆市信義區信一路133之2號4樓,6000000,1993-06-10,2016-09-05,核准設立,,室內裝潢業,3.362,1
76,98115982,群清工程行,基隆市信義區義民里信一路三Ｏ巷一三之三號四樓（限作辦公室使用）,50000,1999-07-30,2010-04-26,核准設立 - 獨資,,室內裝潢業,-0.644,2
77,12728358,三輪相室內裝修設計工程有限公司,基隆市中正區正榮街二五之三號四樓,2000000,2000-12-28,,核准設立,馮世賢,室內裝潢業,0.669,3
78,12903088,大雅室內裝修有限公司,基隆市中正區中正路12之2號2樓,1000000,2001-09-24,2011-05-10,核准設立,,室內裝潢業,-0.005,4
79,80872267,昱成室內裝修工程行,基隆市仁愛區愛三路8號1樓,230000,2003-05-21,2018-10-18,核准設立 - 獨資 (核准文號: 1070002129),,室內裝潢業,-0.523,5
80,8686187,誠興工程行,基隆市中正區正義里正義路二巷四六號四樓,1200000,2005-07-21,2019-03-19,核准設立 - 獨資 (核准文號: 1080000584),,室內裝潢業,0.13,6
81,53391738,黑晶室內裝修設計有限公司,基隆市信義區信綠里正信路137之12號,1000000,2011-04-27,2016-04-13,核准設立,,室內裝潢業,-0.005,7
82,37754472,勝祥工程行,基隆市仁愛區愛五路6巷19弄26號1樓,50000,2013-08-30,2013-08-30,核准設立 - 獨資,,室內裝潢業,-0.644,8
83,42784222,辰信玻璃工程有限公司,基隆市中正區觀海街182號2樓,1000000,2016-03-21,,解散 (核准解散日期: 2019-11-14),溫政欣,室內裝潢業,-0.005,9
84,50585470,鑫昱工程行,基隆市中正區中正路760巷8號4樓,200000,2017-01-20,2019-02-27,核准設立 - 獨資 (核准文號: 1080000414),,室內裝潢業,-0.543,10
85,50585696,石再工程行,基隆市中正區祥豐街68巷155號1樓,200000,2017-02-14,2017-02-14,核准設立 - 獨資 (核准文號: 1060000267),,室內裝潢業,-0.543,11
86,57120455,文京工程有限公司,基隆市信義區東明路77巷1弄10-1號4樓,420000,2017-08-25,,核准設立,陳文彥,室內裝潢業,-0.395,12
87,72827276,金百力工程行,基隆市中正區調和街9號1樓,500000,2018-11-06,,核准設立 - 獨資 (核准文號: 1070002279),游基龍,室內裝潢業,-0.341,13
88,82214418,致佳石材工程行,基隆市信義區義七路66號,245000,2018-11-21,,核准設立 - 獨資 (核准文號: 1070002423),洪志桐,室內裝潢業,-0.513,14
89,765407,和平船舶工程有限公司,基隆市中正區正船里中船路5巷20號2樓,6000000,1976-10-06,2018-10-29,核准設立,,五金零售業,2.029,1
90,22298645,良星五金有限公司,基隆市中正區信六路40號,1000000,1986-11-13,2017-10-05,,,五金零售業,-0.469,2
91,944681,新嘉村五金行,基隆市中正區中正路七七二號一樓,200000,1987-11-25,2018-12-27,歇業 - 獨資 (核准文號: 1070002698),,五金零售業,-0.869,3
